OBJECTID,unitid,unitloc,unitshift,unittype,unitsquad,unitradio,unitduties,level_id,staffrank,staffname,staffphone,staffemail,staffstatus,staffpay,staffduty,staffskills,staffagency,apparatus,eventid,uniqueid,poststatus,GlobalID,CreationDate,Creator,EditDate,Editor,start_time,end_time,start_time_txt,end_time_txt,elevation,Z,X,Y
52,emt-34,,,Paramedic,Medics,,,,Off.,Henry Collins,045666333,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,emt-34 FIFA World Cup 2026™ - overflow even... 2026-6-11,,{6A1CC9C1-7C7D-4DF4-B225-4718D18B64EC},2026-04-29 8:25:35,gvanmaren_3dgis,2026-04-29 8:28:15,gvanmaren_3dgis,2026-06-11 17:05:00,2026-06-11 17:06:00,11/06/2026 5:05:00 PM,11/06/2026 5:06:00 PM,4.323612213,4.323612213,-13704522.48,6321856.06
53,was-78,,,Paramedic,,,,,Maj.,,,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,was-78 FIFA World Cup 2026™ - overflow even... 2026-6-11,,{58F7759E-221B-41F3-8600-C5256664A57E},2026-04-29 8:26:07,gvanmaren_3dgis,2026-04-29 8:26:07,gvanmaren_3dgis,2026-06-11 17:05:00,2026-06-11 17:06:00,11/06/2026 5:05:00 PM,11/06/2026 5:06:00 PM,4.554600239,4.554600239,-13704202.53,6321846.744
54,gvm-10,,,Traffic Control,,,,,Cpl.,Gert Van Maren,0765555510,gvanmaren@esri.com,,,,Paraglider pilot,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,gvm-10 FIFA World Cup 2026™ - overflow even... 2026-6-11,,{AD5F68BA-00EC-45CF-A1C0-66E7CA427CFA},2026-04-29 8:19:00,gvanmaren_3dgis,2026-04-29 8:19:00,gvanmaren_3dgis,2026-06-11 17:06:00,2026-06-11 17:07:00,11/06/2026 5:06:00 PM,11/06/2026 5:07:00 PM,4.069633484,4.069633484,-13704199.37,6321851.894
55,ns-10,,,Traffic Control,,,,,Cpl.,Dude,079333222,,,,,Motor rider,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,ns-10 FIFA World Cup 2026™ - overflow even... 2026-6-11,Off post,{391586B1-4580-495E-894B-3FBC4EC587A1},2026-04-29 8:20:03,gvanmaren_3dgis,2026-04-29 8:21:29,gvanmaren_3dgis,2026-06-11 17:06:00,2026-06-11 17:07:00,11/06/2026 5:06:00 PM,11/06/2026 5:07:00 PM,4.461204052,4.461204052,-13704463.9,6321910.742
56,ww-12,,,Foot Patrol,,,,,Sgt.,,0269998888,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,ww-12 FIFA World Cup 2026™ - overflow even... 2026-6-11,,{F4E29638-D5B1-4EDD-975F-C22A5C8306DC},2026-04-29 8:22:20,gvanmaren_3dgis,2026-04-29 8:22:20,gvanmaren_3dgis,2026-06-11 17:06:00,2026-06-11 17:07:00,11/06/2026 5:06:00 PM,11/06/2026 5:07:00 PM,4.135970116,4.135970116,-13704206.92,6321839.881
57,okm-98,,,Foot Patrol,,,,,Lt.,,,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,okm-98 FIFA World Cup 2026™ - overflow even... 2026-6-11,,{035892A5-60ED-4A46-95F6-FDB8DFC81692},2026-04-29 8:23:20,gvanmaren_3dgis,2026-04-29 8:23:20,gvanmaren_3dgis,2026-06-11 17:06:00,2026-06-11 17:07:00,11/06/2026 5:06:00 PM,11/06/2026 5:07:00 PM,4.928792953,4.928793111,-13704207.36,6321847.309
58,evm-99,,,Foot Patrol,,,,,Off.,Sascha Gabor,022563214,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,evm-99 FIFA World Cup 2026™ - overflow even... 2026-6-11,,{FD3362F5-0036-441C-849A-97B2DC40FB9F},2026-04-29 8:24:12,gvanmaren_3dgis,2026-04-29 8:29:46,gvanmaren_3dgis,2026-06-11 17:06:00,2026-06-11 17:07:00,11/06/2026 5:06:00 PM,11/06/2026 5:07:00 PM,4.191029072,4.191029178,-13704278.77,6321903.316
59,rr-56,,,Foot Patrol,,,,,Cpl.,,,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,rr-56 FIFA World Cup 2026™ - overflow even... 2026-6-11,,{1D96D6F6-5F7B-4C8F-B77D-2BBDC6839EF8},2026-04-29 8:24:44,gvanmaren_3dgis,2026-04-29 8:24:44,gvanmaren_3dgis,2026-06-11 17:06:00,2026-06-11 17:07:00,11/06/2026 5:06:00 PM,11/06/2026 5:07:00 PM,4.063602448,4.063602448,-13704199.99,6321842.45
60,emt-34,,,Paramedic,Medics,,,,Off.,Henry Collins,045666333,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,emt-34 FIFA World Cup 2026™ - overflow even... 2026-6-11,,{0D1DC67A-A4FC-4E63-B4FF-B2472BA68B0E},2026-04-29 8:25:35,gvanmaren_3dgis,2026-04-29 8:28:15,gvanmaren_3dgis,2026-06-11 17:06:00,2026-06-11 17:07:00,11/06/2026 5:06:00 PM,11/06/2026 5:07:00 PM,4.323612213,4.323612213,-13704522.48,6321856.06
61,was-78,,,Paramedic,,,,,Maj.,,,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,was-78 FIFA World Cup 2026™ - overflow even... 2026-6-11,,{16B4E1C5-83A7-492F-AE8E-FA37EA3AD86D},2026-04-29 8:26:07,gvanmaren_3dgis,2026-04-29 8:26:07,gvanmaren_3dgis,2026-06-11 17:06:00,2026-06-11 17:07:00,11/06/2026 5:06:00 PM,11/06/2026 5:07:00 PM,4.554600239,4.554600239,-13704202.09,6321846.63
62,gh-78,Carrall St,,Command Post,,,,,,Kurt Curtis,088569548,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,gh-78 FIFA World Cup 2026™ - overflow even... 2026-6-11,,{E2846A69-0C1B-46B1-B24B-0EB7B6397789},2026-04-29 8:27:03,gvanmaren_3dgis,2026-04-29 8:30:17,gvanmaren_3dgis,2026-06-11 17:06:00,2026-06-11 17:07:00,11/06/2026 5:06:00 PM,11/06/2026 5:07:00 PM,4.829718113,4.829718113,-13704149.54,6321987.082
63,gvm-10,,,Traffic Control,,,,,Cpl.,Gert Van Maren,0765555510,gvanmaren@esri.com,,,,Paraglider pilot,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,gvm-10 FIFA World Cup 2026™ - overflow even... 2026-6-11,,{F8ACF3D2-6AB1-4E25-95D0-8B914298BDC0},2026-04-29 8:19:00,gvanmaren_3dgis,2026-04-29 8:19:00,gvanmaren_3dgis,2026-06-11 17:07:00,2026-06-11 17:08:00,11/06/2026 5:07:00 PM,11/06/2026 5:08:00 PM,4.069633484,4.069633484,-13704274.13,6321869.421
64,ns-10,,,Traffic Control,,,,,Cpl.,Dude,079333222,,,,,Motor rider,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,ns-10 FIFA World Cup 2026™ - overflow even... 2026-6-11,Off post,{564AF633-80D7-4781-AEE5-6C132FA8A9FA},2026-04-29 8:20:03,gvanmaren_3dgis,2026-04-29 8:21:29,gvanmaren_3dgis,2026-06-11 17:07:00,2026-06-11 17:08:00,11/06/2026 5:07:00 PM,11/06/2026 5:08:00 PM,4.461204052,4.461204052,-13704463.9,6321910.742
65,ww-12,,,Foot Patrol,,,,,Sgt.,,0269998888,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,ww-12 FIFA World Cup 2026™ - overflow even... 2026-6-11,,{1F8D76B0-10C0-4224-BF78-D8A09818BC02},2026-04-29 8:22:20,gvanmaren_3dgis,2026-04-29 8:22:20,gvanmaren_3dgis,2026-06-11 17:07:00,2026-06-11 17:08:00,11/06/2026 5:07:00 PM,11/06/2026 5:08:00 PM,4.135970116,4.135970116,-13704267.79,6321856.755
66,okm-98,,,Foot Patrol,,,,,Lt.,,,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,okm-98 FIFA World Cup 2026™ - overflow even... 2026-6-11,,{26C862C0-4A29-4FDD-9D5C-295EECAEE487},2026-04-29 8:23:20,gvanmaren_3dgis,2026-04-29 8:23:20,gvanmaren_3dgis,2026-06-11 17:07:00,2026-06-11 17:08:00,11/06/2026 5:07:00 PM,11/06/2026 5:08:00 PM,4.928792953,4.928793111,-13704220.23,6321844.091
67,evm-99,,,Foot Patrol,,,,,Off.,Sascha Gabor,022563214,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,evm-99 FIFA World Cup 2026™ - overflow even... 2026-6-11,,{6051524B-9D74-4CE0-BA4A-090B15FE4D60},2026-04-29 8:24:12,gvanmaren_3dgis,2026-04-29 8:29:46,gvanmaren_3dgis,2026-06-11 17:07:00,2026-06-11 17:08:00,11/06/2026 5:07:00 PM,11/06/2026 5:08:00 PM,4.191029072,4.191029178,-13704278.77,6321903.316
68,rr-56,,,Foot Patrol,,,,,Cpl.,,,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,rr-56 FIFA World Cup 2026™ - overflow even... 2026-6-11,,{B562A06F-CCED-4018-8FC1-719813F16664},2026-04-29 8:24:44,gvanmaren_3dgis,2026-04-29 8:24:44,gvanmaren_3dgis,2026-06-11 17:07:00,2026-06-11 17:08:00,11/06/2026 5:07:00 PM,11/06/2026 5:08:00 PM,4.063602448,4.063602448,-13704201.25,6321842.45
69,emt-34,,,Paramedic,Medics,,,,Off.,Henry Collins,045666333,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,emt-34 FIFA World Cup 2026™ - overflow even... 2026-6-11,,{DE393995-F662-458B-A219-DBE86DEF0619},2026-04-29 8:25:35,gvanmaren_3dgis,2026-04-29 8:28:15,gvanmaren_3dgis,2026-06-11 17:07:00,2026-06-11 17:08:00,11/06/2026 5:07:00 PM,11/06/2026 5:08:00 PM,4.323612213,4.323612213,-13704522.48,6321856.06
70,was-78,,,Paramedic,,,,,Maj.,,,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,was-78 FIFA World Cup 2026™ - overflow even... 2026-6-11,,{6033D250-6C3B-4ACC-B594-4F8E1AA64CA9},2026-04-29 8:26:07,gvanmaren_3dgis,2026-04-29 8:26:07,gvanmaren_3dgis,2026-06-11 17:07:00,2026-06-11 17:08:00,11/06/2026 5:07:00 PM,11/06/2026 5:08:00 PM,4.554600239,4.554600239,-13704264.3,6321863.606
71,gh-78,Carrall St,,Command Post,,,,,,Kurt Curtis,088569548,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,gh-78 FIFA World Cup 2026™ - overflow even... 2026-6-11,,{AFD32610-3265-4A5F-B936-D926373BCA6F},2026-04-29 8:27:03,gvanmaren_3dgis,2026-04-29 8:30:17,gvanmaren_3dgis,2026-06-11 17:07:00,2026-06-11 17:08:00,11/06/2026 5:07:00 PM,11/06/2026 5:08:00 PM,4.829718113,4.829718113,-13704149.54,6321987.082
72,gh-78,Carrall St,,Command Post,,,,,,Kurt Curtis,088569548,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,gh-78 FIFA World Cup 2026™ - overflow even... 2026-6-11,,{F3DD2D01-D033-4B38-BF15-F75E0D911AD8},2026-04-29 8:27:03,gvanmaren_3dgis,2026-04-29 8:30:17,gvanmaren_3dgis,2026-06-11 17:05:00,2026-06-11 17:06:00,11/06/2026 5:05:00 PM,11/06/2026 5:06:00 PM,4.829718113,4.829718113,-13704149.54,6321987.082
73,gvm-10,,,Traffic Control,,,,,Cpl.,Gert Van Maren,0765555510,gvanmaren@esri.com,,,,Paraglider pilot,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,gvm-10 FIFA World Cup 2026™ - overflow even... 2026-6-11,,{63ED78D9-DF87-4290-9B2D-13732F1273A5},2026-04-29 8:19:00,gvanmaren_3dgis,2026-04-29 8:19:00,gvanmaren_3dgis,2026-06-11 17:08:00,2026-06-11 17:09:00,11/06/2026 5:08:00 PM,11/06/2026 5:09:00 PM,4.069633484,4.069633484,-13704325.91,6321911.318
74,ns-10,,,Traffic Control,,,,,Cpl.,Dude,079333222,,,,,Motor rider,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,ns-10 FIFA World Cup 2026™ - overflow even... 2026-6-11,Off post,{43F28410-8425-4A4A-9319-79817D871252},2026-04-29 8:20:03,gvanmaren_3dgis,2026-04-29 8:21:29,gvanmaren_3dgis,2026-06-11 17:08:00,2026-06-11 17:09:00,11/06/2026 5:08:00 PM,11/06/2026 5:09:00 PM,4.461204052,4.461204052,-13704463.9,6321910.742
75,ww-12,,,Foot Patrol,,,,,Sgt.,,0269998888,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,ww-12 FIFA World Cup 2026™ - overflow even... 2026-6-11,,{7BD10180-6B9D-4992-89D5-E2AA0F04779B},2026-04-29 8:22:20,gvanmaren_3dgis,2026-04-29 8:22:20,gvanmaren_3dgis,2026-06-11 17:08:00,2026-06-11 17:09:00,11/06/2026 5:08:00 PM,11/06/2026 5:09:00 PM,4.135970116,4.135970116,-13704319.58,6321898.652
76,okm-98,,,Foot Patrol,,,,,Lt.,,,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,okm-98 FIFA World Cup 2026™ - overflow even... 2026-6-11,,{AB14A22E-0B4E-4092-AC23-AEBA7B4CD379},2026-04-29 8:23:20,gvanmaren_3dgis,2026-04-29 8:23:20,gvanmaren_3dgis,2026-06-11 17:08:00,2026-06-11 17:09:00,11/06/2026 5:08:00 PM,11/06/2026 5:09:00 PM,4.928792953,4.928793111,-13704271.65,6321848.428
77,evm-99,,,Foot Patrol,,,,,Off.,Sascha Gabor,022563214,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,evm-99 FIFA World Cup 2026™ - overflow even... 2026-6-11,,{93D898F7-8BB6-40FC-8C14-62A8E7215AA3},2026-04-29 8:24:12,gvanmaren_3dgis,2026-04-29 8:29:46,gvanmaren_3dgis,2026-06-11 17:08:00,2026-06-11 17:09:00,11/06/2026 5:08:00 PM,11/06/2026 5:09:00 PM,4.191029072,4.191029178,-13704278.77,6321903.316
78,rr-56,,,Foot Patrol,,,,,Cpl.,,,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,rr-56 FIFA World Cup 2026™ - overflow even... 2026-6-11,,{C7885534-6278-48EA-AE06-CF6BB78068B8},2026-04-29 8:24:44,gvanmaren_3dgis,2026-04-29 8:24:44,gvanmaren_3dgis,2026-06-11 17:08:00,2026-06-11 17:09:00,11/06/2026 5:08:00 PM,11/06/2026 5:09:00 PM,4.063602448,4.063602448,-13704201.25,6321842.45
79,emt-34,,,Paramedic,Medics,,,,Off.,Henry Collins,045666333,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,emt-34 FIFA World Cup 2026™ - overflow even... 2026-6-11,,{64D239F2-5554-4ABA-A249-F66437139D69},2026-04-29 8:25:35,gvanmaren_3dgis,2026-04-29 8:28:15,gvanmaren_3dgis,2026-06-11 17:08:00,2026-06-11 17:09:00,11/06/2026 5:08:00 PM,11/06/2026 5:09:00 PM,4.323612213,4.323612213,-13704522.48,6321856.06
80,was-78,,,Paramedic,,,,,Maj.,,,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,was-78 FIFA World Cup 2026™ - overflow even... 2026-6-11,,{328C54FB-3F3A-4F80-8E17-23BE076B1A43},2026-04-29 8:26:07,gvanmaren_3dgis,2026-04-29 8:26:07,gvanmaren_3dgis,2026-06-11 17:08:00,2026-06-11 17:09:00,11/06/2026 5:08:00 PM,11/06/2026 5:09:00 PM,4.554600239,4.554600239,-13704316.08,6321905.503
81,gh-78,Carrall St,,Command Post,,,,,,Kurt Curtis,088569548,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,gh-78 FIFA World Cup 2026™ - overflow even... 2026-6-11,,{32F2E8AB-E650-4AAD-950F-D04834E49C29},2026-04-29 8:27:03,gvanmaren_3dgis,2026-04-29 8:30:17,gvanmaren_3dgis,2026-06-11 17:08:00,2026-06-11 17:09:00,11/06/2026 5:08:00 PM,11/06/2026 5:09:00 PM,4.829718113,4.829718113,-13704149.54,6321987.082
82,gvm-10,,,Traffic Control,,,,,Cpl.,Gert Van Maren,0765555510,gvanmaren@esri.com,,,,Paraglider pilot,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,gvm-10 FIFA World Cup 2026™ - overflow even... 2026-6-11,,{A564F36E-F460-4039-8403-62DD64A78134},2026-04-29 8:19:00,gvanmaren_3dgis,2026-04-29 8:19:00,gvanmaren_3dgis,2026-06-11 17:09:00,2026-06-11 17:10:00,11/06/2026 5:09:00 PM,11/06/2026 5:10:00 PM,4.069633484,4.069633484,-13704424.8,6321935.066
83,ns-10,,,Traffic Control,,,,,Cpl.,Dude,079333222,,,,,Motor rider,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,ns-10 FIFA World Cup 2026™ - overflow even... 2026-6-11,Off post,{0DA95C69-2443-4FA2-869F-8D37A5C5B830},2026-04-29 8:20:03,gvanmaren_3dgis,2026-04-29 8:21:29,gvanmaren_3dgis,2026-06-11 17:09:00,2026-06-11 17:10:00,11/06/2026 5:09:00 PM,11/06/2026 5:10:00 PM,4.461204052,4.461204052,-13704463.9,6321910.742
84,ww-12,,,Foot Patrol,,,,,Sgt.,,0269998888,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,ww-12 FIFA World Cup 2026™ - overflow even... 2026-6-11,,{F4B8C688-79EA-44F8-8B3D-A0F8C9A8022F},2026-04-29 8:22:20,gvanmaren_3dgis,2026-04-29 8:22:20,gvanmaren_3dgis,2026-06-11 17:09:00,2026-06-11 17:10:00,11/06/2026 5:09:00 PM,11/06/2026 5:10:00 PM,4.135970116,4.135970116,-13704421.03,6321914.65
85,okm-98,,,Foot Patrol,,,,,Lt.,,,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,okm-98 FIFA World Cup 2026™ - overflow even... 2026-6-11,,{A24C9101-290D-499A-A83A-5E1BD5393A43},2026-04-29 8:23:20,gvanmaren_3dgis,2026-04-29 8:23:20,gvanmaren_3dgis,2026-06-11 17:09:00,2026-06-11 17:10:00,11/06/2026 5:09:00 PM,11/06/2026 5:10:00 PM,4.928792953,4.928793111,-13704317.94,6321856.105
86,evm-99,,,Foot Patrol,,,,,Off.,Sascha Gabor,022563214,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,evm-99 FIFA World Cup 2026™ - overflow even... 2026-6-11,,{1DF751E5-7929-4C09-A2B8-2D898E0617F1},2026-04-29 8:24:12,gvanmaren_3dgis,2026-04-29 8:29:46,gvanmaren_3dgis,2026-06-11 17:09:00,2026-06-11 17:10:00,11/06/2026 5:09:00 PM,11/06/2026 5:10:00 PM,4.191029072,4.191029178,-13704278.77,6321903.316
87,rr-56,,,Foot Patrol,,,,,Cpl.,,,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,rr-56 FIFA World Cup 2026™ - overflow even... 2026-6-11,,{3F0C1749-6A62-489E-ACAB-60CCEC4097CA},2026-04-29 8:24:44,gvanmaren_3dgis,2026-04-29 8:24:44,gvanmaren_3dgis,2026-06-11 17:09:00,2026-06-11 17:10:00,11/06/2026 5:09:00 PM,11/06/2026 5:10:00 PM,4.063602448,4.063602448,-13704201.25,6321842.45
88,emt-34,,,Paramedic,Medics,,,,Off.,Henry Collins,045666333,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,emt-34 FIFA World Cup 2026™ - overflow even... 2026-6-11,,{77753184-121A-4CA2-B64F-DE8F286B7BA3},2026-04-29 8:25:35,gvanmaren_3dgis,2026-04-29 8:28:15,gvanmaren_3dgis,2026-06-11 17:09:00,2026-06-11 17:10:00,11/06/2026 5:09:00 PM,11/06/2026 5:10:00 PM,4.323612213,4.323612213,-13704522.48,6321856.06
89,was-78,,,Paramedic,,,,,Maj.,,,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,was-78 FIFA World Cup 2026™ - overflow even... 2026-6-11,,{D83A0DDA-2408-4D99-8AE1-A77BECC82844},2026-04-29 8:26:07,gvanmaren_3dgis,2026-04-29 8:26:07,gvanmaren_3dgis,2026-06-11 17:09:00,2026-06-11 17:10:00,11/06/2026 5:09:00 PM,11/06/2026 5:10:00 PM,4.554600239,4.554600239,-13704420.56,6321926.735
90,gh-78,Carrall St,,Command Post,,,,,,Kurt Curtis,088569548,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,gh-78 FIFA World Cup 2026™ - overflow even... 2026-6-11,,{EF7B93BE-60E0-48C7-B307-1AC1D2589513},2026-04-29 8:27:03,gvanmaren_3dgis,2026-04-29 8:30:17,gvanmaren_3dgis,2026-06-11 17:09:00,2026-06-11 17:10:00,11/06/2026 5:09:00 PM,11/06/2026 5:10:00 PM,4.829718113,4.829718113,-13704149.54,6321987.082
91,gvm-10,,,Traffic Control,,,,,Cpl.,Gert Van Maren,0765555510,gvanmaren@esri.com,,,,Paraglider pilot,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,gvm-10 FIFA World Cup 2026™ - overflow even... 2026-6-11,,{02659CB1-C60B-4FDB-A48B-FCBD05F93A25},2026-04-29 8:19:00,gvanmaren_3dgis,2026-04-29 8:19:00,gvanmaren_3dgis,2026-06-11 17:10:00,2026-06-11 17:11:00,11/06/2026 5:10:00 PM,11/06/2026 5:11:00 PM,4.069633484,4.069633484,-13704517.7,6321864.722
92,ns-10,,,Traffic Control,,,,,Cpl.,Dude,079333222,,,,,Motor rider,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,ns-10 FIFA World Cup 2026™ - overflow even... 2026-6-11,Off post,{E3632E8D-4615-42B3-BD59-137882B8418D},2026-04-29 8:20:03,gvanmaren_3dgis,2026-04-29 8:21:29,gvanmaren_3dgis,2026-06-11 17:10:00,2026-06-11 17:11:00,11/06/2026 5:10:00 PM,11/06/2026 5:11:00 PM,4.461204052,4.461204052,-13704463.9,6321910.742
93,ww-12,,,Foot Patrol,,,,,Sgt.,,0269998888,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,ww-12 FIFA World Cup 2026™ - overflow even... 2026-6-11,,{D06792AC-44DA-4F5F-BDC8-4A10D50EC401},2026-04-29 8:22:20,gvanmaren_3dgis,2026-04-29 8:22:20,gvanmaren_3dgis,2026-06-11 17:10:00,2026-06-11 17:11:00,11/06/2026 5:10:00 PM,11/06/2026 5:11:00 PM,4.135970116,4.135970116,-13704511.36,6321852.056
94,okm-98,,,Foot Patrol,,,,,Lt.,,,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,okm-98 FIFA World Cup 2026™ - overflow even... 2026-6-11,,{5FB8D26B-5694-495D-93D0-6EC6105046B5},2026-04-29 8:23:20,gvanmaren_3dgis,2026-04-29 8:23:20,gvanmaren_3dgis,2026-06-11 17:10:00,2026-06-11 17:11:00,11/06/2026 5:10:00 PM,11/06/2026 5:11:00 PM,4.928792953,4.928793111,-13704356.27,6321861.055
95,evm-99,,,Foot Patrol,,,,,Off.,Sascha Gabor,022563214,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,evm-99 FIFA World Cup 2026™ - overflow even... 2026-6-11,,{113CF40C-DD7B-4792-A462-211FC875D287},2026-04-29 8:24:12,gvanmaren_3dgis,2026-04-29 8:29:46,gvanmaren_3dgis,2026-06-11 17:10:00,2026-06-11 17:11:00,11/06/2026 5:10:00 PM,11/06/2026 5:11:00 PM,4.191029072,4.191029178,-13704278.77,6321903.316
96,rr-56,,,Foot Patrol,,,,,Cpl.,,,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,rr-56 FIFA World Cup 2026™ - overflow even... 2026-6-11,,{56EBFDF6-8FBB-4DB2-9BAF-479B51F95FEA},2026-04-29 8:24:44,gvanmaren_3dgis,2026-04-29 8:24:44,gvanmaren_3dgis,2026-06-11 17:10:00,2026-06-11 17:11:00,11/06/2026 5:10:00 PM,11/06/2026 5:11:00 PM,4.063602448,4.063602448,-13704201.25,6321842.45
97,emt-34,,,Paramedic,Medics,,,,Off.,Henry Collins,045666333,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,emt-34 FIFA World Cup 2026™ - overflow even... 2026-6-11,,{BEAD545B-DF5B-4CF1-B742-FC51CA903536},2026-04-29 8:25:35,gvanmaren_3dgis,2026-04-29 8:28:15,gvanmaren_3dgis,2026-06-11 17:10:00,2026-06-11 17:11:00,11/06/2026 5:10:00 PM,11/06/2026 5:11:00 PM,4.323612213,4.323612213,-13704522.48,6321856.06
98,was-78,,,Paramedic,,,,,Maj.,,,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,was-78 FIFA World Cup 2026™ - overflow even... 2026-6-11,,{52A4BA7E-34CA-4175-8782-1D55E95C2AC6},2026-04-29 8:26:07,gvanmaren_3dgis,2026-04-29 8:26:07,gvanmaren_3dgis,2026-06-11 17:10:00,2026-06-11 17:11:00,11/06/2026 5:10:00 PM,11/06/2026 5:11:00 PM,4.554600239,4.554600239,-13704507.87,6321858.907
99,gh-78,Carrall St,,Command Post,,,,,,Kurt Curtis,088569548,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,gh-78 FIFA World Cup 2026™ - overflow even... 2026-6-11,,{836AED8C-B9F4-456B-851F-27B26C47C3EB},2026-04-29 8:27:03,gvanmaren_3dgis,2026-04-29 8:30:17,gvanmaren_3dgis,2026-06-11 17:10:00,2026-06-11 17:11:00,11/06/2026 5:10:00 PM,11/06/2026 5:11:00 PM,4.829718113,4.829718113,-13704149.54,6321987.082
100,gvm-10,,,Traffic Control,,,,,Cpl.,Gert Van Maren,0765555510,gvanmaren@esri.com,,,,Paraglider pilot,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,gvm-10 FIFA World Cup 2026™ - overflow even... 2026-6-11,,{87A4CD68-4EFA-4F15-AC12-31F193DED064},2026-04-29 8:19:00,gvanmaren_3dgis,2026-04-29 8:19:00,gvanmaren_3dgis,2026-06-11 17:00:00,2026-06-11 17:01:00,11/06/2026 5:00:00 PM,11/06/2026 5:01:00 PM,4.595128059,4.508930683,-13704383.7,6321922.018
101,ns-10,,,Traffic Control,,,,,Cpl.,Dude,079333222,,,,,Motor rider,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,ns-10 FIFA World Cup 2026™ - overflow even... 2026-6-11,Off post,{6EC70753-8C87-43BE-824D-4151C48A6EBC},2026-04-29 8:20:03,gvanmaren_3dgis,2026-04-29 8:21:29,gvanmaren_3dgis,2026-06-11 17:00:00,2026-06-11 17:01:00,11/06/2026 5:00:00 PM,11/06/2026 5:01:00 PM,4.461204052,4.461204052,-13704463.9,6321910.742
102,ww-12,,,Foot Patrol,,,,,Sgt.,,0269998888,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,ww-12 FIFA World Cup 2026™ - overflow even... 2026-6-11,,{A824DBC7-1138-46D5-8D0F-99DDB4B12C12},2026-04-29 8:22:20,gvanmaren_3dgis,2026-04-29 8:22:20,gvanmaren_3dgis,2026-06-11 17:00:00,2026-06-11 17:01:00,11/06/2026 5:00:00 PM,11/06/2026 5:01:00 PM,4.684360504,4.769339085,-13704309.73,6321850.82
103,okm-98,,,Foot Patrol,,,,,Lt.,,,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,okm-98 FIFA World Cup 2026™ - overflow even... 2026-6-11,,{1E33AD7B-AA56-4CF5-A00B-9F4E9935C2B0},2026-04-29 8:23:20,gvanmaren_3dgis,2026-04-29 8:23:20,gvanmaren_3dgis,2026-06-11 17:00:00,2026-06-11 17:01:00,11/06/2026 5:00:00 PM,11/06/2026 5:01:00 PM,4.928792953,4.928793111,-13704356.27,6321861.055
