OBJECTID,unitid,unitloc,poststatus,unitshift,unittype,unitsquad,unitradio,unitduties,level_id,staffrank,staffname,staffphone,staffemail,staffstatus,staffpay,staffduty,staffskills,staffagency,apparatus,eventid,uniqueid,GlobalID,CreationDate,Creator,EditDate,Editor,start_time,end_time,start_time_txt,end_time_txt,elevation,Z,X,Y
52,emt-34,,,,Paramedic,Medics,,,,Off.,Henry Collins,045666333,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,emt-34 FIFA World Cup 2026™ - overflow even... 2026-6-11,{023477AE-9086-4E90-89CC-8BA1C7AADB9A},2026-04-29 8:25:35,gvanmaren_3dgis,2026-04-29 8:28:15,gvanmaren_3dgis,2026-06-11 17:05:00,2026-06-11 17:06:00,11/06/2026 5:05:00 PM,11/06/2026 5:06:00 PM,4.323612213,4.323612213,-13704522.48,6321856.06
53,was-78,,,,Paramedic,,,,,Maj.,,,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,was-78 FIFA World Cup 2026™ - overflow even... 2026-6-11,{5C99B031-AA9C-4AB7-BC1D-336D91C7C4A3},2026-04-29 8:26:07,gvanmaren_3dgis,2026-04-29 8:26:07,gvanmaren_3dgis,2026-06-11 17:05:00,2026-06-11 17:06:00,11/06/2026 5:05:00 PM,11/06/2026 5:06:00 PM,4.554600239,4.554600239,-13704206.85,6321851.732
55,gvm-10,,,,Traffic Control,,,,,Cpl.,Gert Van Maren,0765555510,gvanmaren@esri.com,,,,Paraglider pilot,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,gvm-10 FIFA World Cup 2026™ - overflow even... 2026-6-11,{E10E4C31-E3FC-44A7-BFE4-EEC08D9F2D09},2026-04-29 8:19:00,gvanmaren_3dgis,2026-04-29 8:19:00,gvanmaren_3dgis,2026-06-11 17:06:00,2026-06-11 17:07:00,11/06/2026 5:06:00 PM,11/06/2026 5:07:00 PM,4.069633484,4.069633484,-13704206.06,6321860.089
56,ns-10,,Off post,,Traffic Control,,,,,Cpl.,Dude,079333222,,,,,Motor rider,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,ns-10 FIFA World Cup 2026™ - overflow even... 2026-6-11,{201032BE-F021-4AA4-BCA1-E57FFDB3DB21},2026-04-29 8:20:03,gvanmaren_3dgis,2026-04-29 8:21:29,gvanmaren_3dgis,2026-06-11 17:06:00,2026-06-11 17:07:00,11/06/2026 5:06:00 PM,11/06/2026 5:07:00 PM,4.461204052,4.461204052,-13704463.9,6321910.742
57,ww-12,,,,Foot Patrol,,,,,Sgt.,,0269998888,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,ww-12 FIFA World Cup 2026™ - overflow even... 2026-6-11,{C4C40C13-6876-47FF-9730-B04D056F7FA8},2026-04-29 8:22:20,gvanmaren_3dgis,2026-04-29 8:22:20,gvanmaren_3dgis,2026-06-11 17:06:00,2026-06-11 17:07:00,11/06/2026 5:06:00 PM,11/06/2026 5:07:00 PM,4.135970116,4.135970116,-13704218.76,6321843.66
58,okm-98,,,,Foot Patrol,,,,,Lt.,,,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,okm-98 FIFA World Cup 2026™ - overflow even... 2026-6-11,{BB6CC6B5-8DE7-4256-9D65-BECF64B0F270},2026-04-29 8:23:20,gvanmaren_3dgis,2026-04-29 8:23:20,gvanmaren_3dgis,2026-06-11 17:06:00,2026-06-11 17:07:00,11/06/2026 5:06:00 PM,11/06/2026 5:07:00 PM,4.928792953,4.928793111,-13704356.27,6321861.055
59,evm-99,,,,Foot Patrol,,,,,Off.,Sascha Gabor,022563214,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,evm-99 FIFA World Cup 2026™ - overflow even... 2026-6-11,{2F1E531A-32B0-4C9D-AF31-4767FD8414D2},2026-04-29 8:24:12,gvanmaren_3dgis,2026-04-29 8:29:46,gvanmaren_3dgis,2026-06-11 17:06:00,2026-06-11 17:07:00,11/06/2026 5:06:00 PM,11/06/2026 5:07:00 PM,4.191029072,4.191029178,-13704278.77,6321903.316
60,rr-56,,,,Foot Patrol,,,,,Cpl.,,,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,rr-56 FIFA World Cup 2026™ - overflow even... 2026-6-11,{693130D5-E48A-4D1E-B065-89CEAC81C45D},2026-04-29 8:24:44,gvanmaren_3dgis,2026-04-29 8:24:44,gvanmaren_3dgis,2026-06-11 17:06:00,2026-06-11 17:07:00,11/06/2026 5:06:00 PM,11/06/2026 5:07:00 PM,4.063602448,4.063602448,-13704199.99,6321842.45
61,emt-34,,,,Paramedic,Medics,,,,Off.,Henry Collins,045666333,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,emt-34 FIFA World Cup 2026™ - overflow even... 2026-6-11,{845DC715-F62F-4896-B2DF-A93173E2BCFD},2026-04-29 8:25:35,gvanmaren_3dgis,2026-04-29 8:28:15,gvanmaren_3dgis,2026-06-11 17:06:00,2026-06-11 17:07:00,11/06/2026 5:06:00 PM,11/06/2026 5:07:00 PM,4.323612213,4.323612213,-13704522.48,6321856.06
62,was-78,,,,Paramedic,,,,,Maj.,,,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,was-78 FIFA World Cup 2026™ - overflow even... 2026-6-11,{5D10F632-63E9-417D-A6FF-E01BD3AB7263},2026-04-29 8:26:07,gvanmaren_3dgis,2026-04-29 8:26:07,gvanmaren_3dgis,2026-06-11 17:06:00,2026-06-11 17:07:00,11/06/2026 5:06:00 PM,11/06/2026 5:07:00 PM,4.554600239,4.554600239,-13704206.85,6321851.732
63,gh-78,Carrall St,,,Command Post,,,,,,Kurt Curtis,088569548,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,gh-78 FIFA World Cup 2026™ - overflow even... 2026-6-11,{DD1627FC-40AC-4575-983D-3C62B2F26AFC},2026-04-29 8:27:03,gvanmaren_3dgis,2026-04-29 8:30:17,gvanmaren_3dgis,2026-06-11 17:06:00,2026-06-11 17:07:00,11/06/2026 5:06:00 PM,11/06/2026 5:07:00 PM,4.829718113,4.829718113,-13704149.54,6321987.082
64,gvm-10,,,,Traffic Control,,,,,Cpl.,Gert Van Maren,0765555510,gvanmaren@esri.com,,,,Paraglider pilot,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,gvm-10 FIFA World Cup 2026™ - overflow even... 2026-6-11,{EAFA53DD-8526-4E8A-A9A8-A943ACB35CB8},2026-04-29 8:19:00,gvanmaren_3dgis,2026-04-29 8:19:00,gvanmaren_3dgis,2026-06-11 17:07:00,2026-06-11 17:08:00,11/06/2026 5:07:00 PM,11/06/2026 5:08:00 PM,4.069633484,4.069633484,-13704274.13,6321869.421
65,ns-10,,Off post,,Traffic Control,,,,,Cpl.,Dude,079333222,,,,,Motor rider,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,ns-10 FIFA World Cup 2026™ - overflow even... 2026-6-11,{284EB6A9-B0AA-4BD0-91B2-9545CFC2CD61},2026-04-29 8:20:03,gvanmaren_3dgis,2026-04-29 8:21:29,gvanmaren_3dgis,2026-06-11 17:07:00,2026-06-11 17:08:00,11/06/2026 5:07:00 PM,11/06/2026 5:08:00 PM,4.461204052,4.461204052,-13704463.9,6321910.742
66,ww-12,,,,Foot Patrol,,,,,Sgt.,,0269998888,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,ww-12 FIFA World Cup 2026™ - overflow even... 2026-6-11,{17C87577-E243-40D9-B25D-DBF7642356D2},2026-04-29 8:22:20,gvanmaren_3dgis,2026-04-29 8:22:20,gvanmaren_3dgis,2026-06-11 17:07:00,2026-06-11 17:08:00,11/06/2026 5:07:00 PM,11/06/2026 5:08:00 PM,4.135970116,4.135970116,-13704267.79,6321856.755
67,okm-98,,,,Foot Patrol,,,,,Lt.,,,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,okm-98 FIFA World Cup 2026™ - overflow even... 2026-6-11,{DC6ABBF9-586E-45D0-AFFF-F95C34946C23},2026-04-29 8:23:20,gvanmaren_3dgis,2026-04-29 8:23:20,gvanmaren_3dgis,2026-06-11 17:07:00,2026-06-11 17:08:00,11/06/2026 5:07:00 PM,11/06/2026 5:08:00 PM,4.928792953,4.928793111,-13704356.27,6321861.055
68,evm-99,,,,Foot Patrol,,,,,Off.,Sascha Gabor,022563214,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,evm-99 FIFA World Cup 2026™ - overflow even... 2026-6-11,{02427955-71FC-492E-9BEE-2675335E9011},2026-04-29 8:24:12,gvanmaren_3dgis,2026-04-29 8:29:46,gvanmaren_3dgis,2026-06-11 17:07:00,2026-06-11 17:08:00,11/06/2026 5:07:00 PM,11/06/2026 5:08:00 PM,4.191029072,4.191029178,-13704278.77,6321903.316
69,rr-56,,,,Foot Patrol,,,,,Cpl.,,,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,rr-56 FIFA World Cup 2026™ - overflow even... 2026-6-11,{66104076-2D64-40F5-AE71-456325DCE309},2026-04-29 8:24:44,gvanmaren_3dgis,2026-04-29 8:24:44,gvanmaren_3dgis,2026-06-11 17:07:00,2026-06-11 17:08:00,11/06/2026 5:07:00 PM,11/06/2026 5:08:00 PM,4.063602448,4.063602448,-13704201.25,6321842.45
70,emt-34,,,,Paramedic,Medics,,,,Off.,Henry Collins,045666333,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,emt-34 FIFA World Cup 2026™ - overflow even... 2026-6-11,{F9A084BB-107D-4DDB-BC5B-4776D74AA397},2026-04-29 8:25:35,gvanmaren_3dgis,2026-04-29 8:28:15,gvanmaren_3dgis,2026-06-11 17:07:00,2026-06-11 17:08:00,11/06/2026 5:07:00 PM,11/06/2026 5:08:00 PM,4.323612213,4.323612213,-13704522.48,6321856.06
71,was-78,,,,Paramedic,,,,,Maj.,,,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,was-78 FIFA World Cup 2026™ - overflow even... 2026-6-11,{68EC5200-8ACB-46D8-B141-1575F60A7510},2026-04-29 8:26:07,gvanmaren_3dgis,2026-04-29 8:26:07,gvanmaren_3dgis,2026-06-11 17:07:00,2026-06-11 17:08:00,11/06/2026 5:07:00 PM,11/06/2026 5:08:00 PM,4.554600239,4.554600239,-13704264.3,6321863.606
72,gh-78,Carrall St,,,Command Post,,,,,,Kurt Curtis,088569548,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,gh-78 FIFA World Cup 2026™ - overflow even... 2026-6-11,{2BBE5447-D880-47CA-9C27-EFC4B04EEB3B},2026-04-29 8:27:03,gvanmaren_3dgis,2026-04-29 8:30:17,gvanmaren_3dgis,2026-06-11 17:07:00,2026-06-11 17:08:00,11/06/2026 5:07:00 PM,11/06/2026 5:08:00 PM,4.829718113,4.829718113,-13704149.54,6321987.082
73,gh-78,Carrall St,,,Command Post,,,,,,Kurt Curtis,088569548,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,gh-78 FIFA World Cup 2026™ - overflow even... 2026-6-11,{8D8C906B-43D0-43EC-BAC3-B5F0AE064325},2026-04-29 8:27:03,gvanmaren_3dgis,2026-04-29 8:30:17,gvanmaren_3dgis,2026-06-11 17:05:00,2026-06-11 17:06:00,11/06/2026 5:05:00 PM,11/06/2026 5:06:00 PM,4.829718113,4.829718113,-13704149.54,6321987.082
74,gvm-10,,,,Traffic Control,,,,,Cpl.,Gert Van Maren,0765555510,gvanmaren@esri.com,,,,Paraglider pilot,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,gvm-10 FIFA World Cup 2026™ - overflow even... 2026-6-11,{7B14E85F-5141-4FE3-A87B-D36BC88E1EC5},2026-04-29 8:19:00,gvanmaren_3dgis,2026-04-29 8:19:00,gvanmaren_3dgis,2026-06-11 17:08:00,2026-06-11 17:09:00,11/06/2026 5:08:00 PM,11/06/2026 5:09:00 PM,4.069633484,4.069633484,-13704325.91,6321911.318
75,ns-10,,Off post,,Traffic Control,,,,,Cpl.,Dude,079333222,,,,,Motor rider,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,ns-10 FIFA World Cup 2026™ - overflow even... 2026-6-11,{265022AB-5BAB-43FF-A801-AE45FF3A1D64},2026-04-29 8:20:03,gvanmaren_3dgis,2026-04-29 8:21:29,gvanmaren_3dgis,2026-06-11 17:08:00,2026-06-11 17:09:00,11/06/2026 5:08:00 PM,11/06/2026 5:09:00 PM,4.461204052,4.461204052,-13704463.9,6321910.742
76,ww-12,,,,Foot Patrol,,,,,Sgt.,,0269998888,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,ww-12 FIFA World Cup 2026™ - overflow even... 2026-6-11,{B8D61DB4-B996-41A4-85DF-9062685CF868},2026-04-29 8:22:20,gvanmaren_3dgis,2026-04-29 8:22:20,gvanmaren_3dgis,2026-06-11 17:08:00,2026-06-11 17:09:00,11/06/2026 5:08:00 PM,11/06/2026 5:09:00 PM,4.135970116,4.135970116,-13704319.58,6321898.652
77,okm-98,,,,Foot Patrol,,,,,Lt.,,,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,okm-98 FIFA World Cup 2026™ - overflow even... 2026-6-11,{653879FD-77C8-422C-8128-9E2AA57C2B87},2026-04-29 8:23:20,gvanmaren_3dgis,2026-04-29 8:23:20,gvanmaren_3dgis,2026-06-11 17:08:00,2026-06-11 17:09:00,11/06/2026 5:08:00 PM,11/06/2026 5:09:00 PM,4.928792953,4.928793111,-13704356.27,6321861.055
78,evm-99,,,,Foot Patrol,,,,,Off.,Sascha Gabor,022563214,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,evm-99 FIFA World Cup 2026™ - overflow even... 2026-6-11,{4245897D-39EC-4B59-AE4F-0AFEBED284F8},2026-04-29 8:24:12,gvanmaren_3dgis,2026-04-29 8:29:46,gvanmaren_3dgis,2026-06-11 17:08:00,2026-06-11 17:09:00,11/06/2026 5:08:00 PM,11/06/2026 5:09:00 PM,4.191029072,4.191029178,-13704278.77,6321903.316
79,rr-56,,,,Foot Patrol,,,,,Cpl.,,,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,rr-56 FIFA World Cup 2026™ - overflow even... 2026-6-11,{289011B0-9341-47E6-9AF8-85878B1AE6B0},2026-04-29 8:24:44,gvanmaren_3dgis,2026-04-29 8:24:44,gvanmaren_3dgis,2026-06-11 17:08:00,2026-06-11 17:09:00,11/06/2026 5:08:00 PM,11/06/2026 5:09:00 PM,4.063602448,4.063602448,-13704201.25,6321842.45
80,emt-34,,,,Paramedic,Medics,,,,Off.,Henry Collins,045666333,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,emt-34 FIFA World Cup 2026™ - overflow even... 2026-6-11,{EED3BC57-C784-4C7B-9DFE-4D94C7F9047D},2026-04-29 8:25:35,gvanmaren_3dgis,2026-04-29 8:28:15,gvanmaren_3dgis,2026-06-11 17:08:00,2026-06-11 17:09:00,11/06/2026 5:08:00 PM,11/06/2026 5:09:00 PM,4.323612213,4.323612213,-13704522.48,6321856.06
81,was-78,,,,Paramedic,,,,,Maj.,,,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,was-78 FIFA World Cup 2026™ - overflow even... 2026-6-11,{A0D1880D-BBFF-49FF-AAAC-3C668BB8D01B},2026-04-29 8:26:07,gvanmaren_3dgis,2026-04-29 8:26:07,gvanmaren_3dgis,2026-06-11 17:08:00,2026-06-11 17:09:00,11/06/2026 5:08:00 PM,11/06/2026 5:09:00 PM,4.554600239,4.554600239,-13704316.08,6321905.503
82,gh-78,Carrall St,,,Command Post,,,,,,Kurt Curtis,088569548,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,gh-78 FIFA World Cup 2026™ - overflow even... 2026-6-11,{C6DE486F-5CA3-49D3-BC1A-66DE64430BEE},2026-04-29 8:27:03,gvanmaren_3dgis,2026-04-29 8:30:17,gvanmaren_3dgis,2026-06-11 17:08:00,2026-06-11 17:09:00,11/06/2026 5:08:00 PM,11/06/2026 5:09:00 PM,4.829718113,4.829718113,-13704149.54,6321987.082
83,gvm-10,,,,Traffic Control,,,,,Cpl.,Gert Van Maren,0765555510,gvanmaren@esri.com,,,,Paraglider pilot,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,gvm-10 FIFA World Cup 2026™ - overflow even... 2026-6-11,{E13E907C-8D5E-4869-A142-FCBF56A4E90F},2026-04-29 8:19:00,gvanmaren_3dgis,2026-04-29 8:19:00,gvanmaren_3dgis,2026-06-11 17:09:00,2026-06-11 17:10:00,11/06/2026 5:09:00 PM,11/06/2026 5:10:00 PM,4.069633484,4.069633484,-13704402.21,6321932.551
84,ns-10,,Off post,,Traffic Control,,,,,Cpl.,Dude,079333222,,,,,Motor rider,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,ns-10 FIFA World Cup 2026™ - overflow even... 2026-6-11,{A2759E6C-8BA3-4D3B-927C-7EC68A850F85},2026-04-29 8:20:03,gvanmaren_3dgis,2026-04-29 8:21:29,gvanmaren_3dgis,2026-06-11 17:09:00,2026-06-11 17:10:00,11/06/2026 5:09:00 PM,11/06/2026 5:10:00 PM,4.461204052,4.461204052,-13704463.9,6321910.742
85,ww-12,,,,Foot Patrol,,,,,Sgt.,,0269998888,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,ww-12 FIFA World Cup 2026™ - overflow even... 2026-6-11,{ED2D3E2E-F6C6-4C1F-BA97-4E2EB28A17F6},2026-04-29 8:22:20,gvanmaren_3dgis,2026-04-29 8:22:20,gvanmaren_3dgis,2026-06-11 17:09:00,2026-06-11 17:10:00,11/06/2026 5:09:00 PM,11/06/2026 5:10:00 PM,4.135970116,4.135970116,-13704395.87,6321919.885
86,okm-98,,,,Foot Patrol,,,,,Lt.,,,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,okm-98 FIFA World Cup 2026™ - overflow even... 2026-6-11,{DE9CBDC0-F3CC-4542-ABC4-11A3B566E3ED},2026-04-29 8:23:20,gvanmaren_3dgis,2026-04-29 8:23:20,gvanmaren_3dgis,2026-06-11 17:09:00,2026-06-11 17:10:00,11/06/2026 5:09:00 PM,11/06/2026 5:10:00 PM,4.928792953,4.928793111,-13704356.27,6321861.055
87,evm-99,,,,Foot Patrol,,,,,Off.,Sascha Gabor,022563214,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,evm-99 FIFA World Cup 2026™ - overflow even... 2026-6-11,{5B1C784D-1424-4C19-82C2-596B2B3DEA7A},2026-04-29 8:24:12,gvanmaren_3dgis,2026-04-29 8:29:46,gvanmaren_3dgis,2026-06-11 17:09:00,2026-06-11 17:10:00,11/06/2026 5:09:00 PM,11/06/2026 5:10:00 PM,4.191029072,4.191029178,-13704278.77,6321903.316
88,rr-56,,,,Foot Patrol,,,,,Cpl.,,,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,rr-56 FIFA World Cup 2026™ - overflow even... 2026-6-11,{94B985B0-5B75-4B98-AFFE-A493D3FE89B1},2026-04-29 8:24:44,gvanmaren_3dgis,2026-04-29 8:24:44,gvanmaren_3dgis,2026-06-11 17:09:00,2026-06-11 17:10:00,11/06/2026 5:09:00 PM,11/06/2026 5:10:00 PM,4.063602448,4.063602448,-13704201.25,6321842.45
89,emt-34,,,,Paramedic,Medics,,,,Off.,Henry Collins,045666333,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,emt-34 FIFA World Cup 2026™ - overflow even... 2026-6-11,{850BA607-8D69-4E70-B8E0-5AAC90CFC3D2},2026-04-29 8:25:35,gvanmaren_3dgis,2026-04-29 8:28:15,gvanmaren_3dgis,2026-06-11 17:09:00,2026-06-11 17:10:00,11/06/2026 5:09:00 PM,11/06/2026 5:10:00 PM,4.323612213,4.323612213,-13704522.48,6321856.06
90,was-78,,,,Paramedic,,,,,Maj.,,,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,was-78 FIFA World Cup 2026™ - overflow even... 2026-6-11,{BE45234B-876B-4D8B-BE10-E01CCC43EDED},2026-04-29 8:26:07,gvanmaren_3dgis,2026-04-29 8:26:07,gvanmaren_3dgis,2026-06-11 17:09:00,2026-06-11 17:10:00,11/06/2026 5:09:00 PM,11/06/2026 5:10:00 PM,4.554600239,4.554600239,-13704392.38,6321926.735
91,gh-78,Carrall St,,,Command Post,,,,,,Kurt Curtis,088569548,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,gh-78 FIFA World Cup 2026™ - overflow even... 2026-6-11,{F8F1AF68-DACE-44AE-B2E8-694C52AAC2A6},2026-04-29 8:27:03,gvanmaren_3dgis,2026-04-29 8:30:17,gvanmaren_3dgis,2026-06-11 17:09:00,2026-06-11 17:10:00,11/06/2026 5:09:00 PM,11/06/2026 5:10:00 PM,4.829718113,4.829718113,-13704149.54,6321987.082
92,gvm-10,,,,Traffic Control,,,,,Cpl.,Gert Van Maren,0765555510,gvanmaren@esri.com,,,,Paraglider pilot,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,gvm-10 FIFA World Cup 2026™ - overflow even... 2026-6-11,{117F56F2-6008-4F5B-84FB-5625565BF850},2026-04-29 8:19:00,gvanmaren_3dgis,2026-04-29 8:19:00,gvanmaren_3dgis,2026-06-11 17:10:00,2026-06-11 17:11:00,11/06/2026 5:10:00 PM,11/06/2026 5:11:00 PM,4.069633484,4.069633484,-13704517.7,6321864.722
93,ns-10,,Off post,,Traffic Control,,,,,Cpl.,Dude,079333222,,,,,Motor rider,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,ns-10 FIFA World Cup 2026™ - overflow even... 2026-6-11,{25E6ACF6-5F2E-47E7-920F-A8671246ABF4},2026-04-29 8:20:03,gvanmaren_3dgis,2026-04-29 8:21:29,gvanmaren_3dgis,2026-06-11 17:10:00,2026-06-11 17:11:00,11/06/2026 5:10:00 PM,11/06/2026 5:11:00 PM,4.461204052,4.461204052,-13704463.9,6321910.742
94,ww-12,,,,Foot Patrol,,,,,Sgt.,,0269998888,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,ww-12 FIFA World Cup 2026™ - overflow even... 2026-6-11,{C9B6BE9A-0FC0-4DF5-9F15-08434C6AB915},2026-04-29 8:22:20,gvanmaren_3dgis,2026-04-29 8:22:20,gvanmaren_3dgis,2026-06-11 17:10:00,2026-06-11 17:11:00,11/06/2026 5:10:00 PM,11/06/2026 5:11:00 PM,4.135970116,4.135970116,-13704511.36,6321852.056
95,okm-98,,,,Foot Patrol,,,,,Lt.,,,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,okm-98 FIFA World Cup 2026™ - overflow even... 2026-6-11,{A0BD4755-55CA-4B78-A273-B9B7BB49F3DC},2026-04-29 8:23:20,gvanmaren_3dgis,2026-04-29 8:23:20,gvanmaren_3dgis,2026-06-11 17:10:00,2026-06-11 17:11:00,11/06/2026 5:10:00 PM,11/06/2026 5:11:00 PM,4.928792953,4.928793111,-13704356.27,6321861.055
96,evm-99,,,,Foot Patrol,,,,,Off.,Sascha Gabor,022563214,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,evm-99 FIFA World Cup 2026™ - overflow even... 2026-6-11,{2E97F3B7-987B-4A37-B338-AA1183891D6A},2026-04-29 8:24:12,gvanmaren_3dgis,2026-04-29 8:29:46,gvanmaren_3dgis,2026-06-11 17:10:00,2026-06-11 17:11:00,11/06/2026 5:10:00 PM,11/06/2026 5:11:00 PM,4.191029072,4.191029178,-13704278.77,6321903.316
97,rr-56,,,,Foot Patrol,,,,,Cpl.,,,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,rr-56 FIFA World Cup 2026™ - overflow even... 2026-6-11,{6AFF0AF8-8762-4990-AB47-03131B433BB3},2026-04-29 8:24:44,gvanmaren_3dgis,2026-04-29 8:24:44,gvanmaren_3dgis,2026-06-11 17:10:00,2026-06-11 17:11:00,11/06/2026 5:10:00 PM,11/06/2026 5:11:00 PM,4.063602448,4.063602448,-13704201.25,6321842.45
98,emt-34,,,,Paramedic,Medics,,,,Off.,Henry Collins,045666333,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,emt-34 FIFA World Cup 2026™ - overflow even... 2026-6-11,{0FD4D2BA-36DF-4A09-992B-1E340FF11D00},2026-04-29 8:25:35,gvanmaren_3dgis,2026-04-29 8:28:15,gvanmaren_3dgis,2026-06-11 17:10:00,2026-06-11 17:11:00,11/06/2026 5:10:00 PM,11/06/2026 5:11:00 PM,4.323612213,4.323612213,-13704522.48,6321856.06
99,was-78,,,,Paramedic,,,,,Maj.,,,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,was-78 FIFA World Cup 2026™ - overflow even... 2026-6-11,{72F3B751-DBDF-42BA-805D-533E75BDE339},2026-04-29 8:26:07,gvanmaren_3dgis,2026-04-29 8:26:07,gvanmaren_3dgis,2026-06-11 17:10:00,2026-06-11 17:11:00,11/06/2026 5:10:00 PM,11/06/2026 5:11:00 PM,4.554600239,4.554600239,-13704507.87,6321858.907
100,gh-78,Carrall St,,,Command Post,,,,,,Kurt Curtis,088569548,,,,,,,,FIFA World Cup 2026™ - overflow even... 2026-6-11,gh-78 FIFA World Cup 2026™ - overflow even... 2026-6-11,{8B59BA70-ED43-489A-820E-45BED998A1B8},2026-04-29 8:27:03,gvanmaren_3dgis,2026-04-29 8:30:17,gvanmaren_3dgis,2026-06-11 17:10:00,2026-06-11 17:11:00,11/06/2026 5:10:00 PM,11/06/2026 5:11:00 PM,4.829718113,4.829718113,-13704149.54,6321987.082
